Ammersee — 2026-08-04
  dominant thermal; peak 8.6 kn (3 Bft) W ~23h · gusts to 13.7 kn ~23h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | SE   |     3.0 (1) |   6.2   | gradient | med  | raw (no local calib yet)
  01   | SE   |     2.7 (1) |   5.8   | gradient | med  | raw (no local calib yet)
  02   | SSE  |     2.5 (1) |   6.4   | gradient | med  | raw (no local calib yet)
  03   | SSE  |     2.4 (1) |   4.9   | gradient | med  | raw (no local calib yet)
  04   | S    |     2.9 (1) |   6.0   | gradient | med  | raw (no local calib yet)
  05   | S    |     2.9 (1) |   6.6   | gradient | med  | raw (no local calib yet)
  06   | SSE  |     3.1 (1) |   6.5   | gradient | med  | raw (no local calib yet)
  07   | SSW  |     4.0 (2) |   9.0   | gradient | med  | raw (no local calib yet)
  08   | S    |     3.3 (1) |   7.0   | gradient | med  | raw (no local calib yet)
  09   | SSW  |     3.9 (1) |   9.3   | gradient | med  | raw (no local calib yet)
  10   | SW   |     3.2 (1) |   9.2   | gradient | med  | raw (no local calib yet)
  11   | W    |     2.5 (1) |   7.7   | gradient | med  | raw (no local calib yet)
  12   | WNW  |     3.5 (1) |   7.3   | thermal  | med  | raw (no local calib yet)
  13   | NW   |     3.6 (1) |   7.5   | thermal  | med  | raw (no local calib yet)
  14   | WNW  |     2.6 (1) |   6.9   | thermal  | med  | raw (no local calib yet)
  15   | NW   |     3.4 (1) |   5.8   | thermal  | med  | raw (no local calib yet)
  16   | NW   |     4.0 (2) |   7.7   | thermal  | med  | raw (no local calib yet)
  17   | ESE  |     4.4 (2) |   7.6   | thermal  | med  | raw (no local calib yet)
  18   | WSW  |     6.1 (2) |   9.2   | gradient | med  | raw (no local calib yet)
  19   | SW   |     5.3 (2) |   6.6   | gradient | med  | raw (no local calib yet)
  20   | E    |     5.3 (2) |   5.3   | gradient | med  | raw (no local calib yet)
  21   | SSE  |     4.7 (2) |   7.3   | gradient | med  | raw (no local calib yet)
  22   | W    |     8.3 (3) |  12.7   | gradient | med  | raw (no local calib yet)
  23   | W    |     8.6 (3) |  13.7   | gradient | med  | 
